Do you own a wireless speaker?,How often do you use your wireless speaker?,How would you rate the sound quality of your wireless speaker?,Please tell us a bit more about your rating of the sound quality of your wireless speaker. ,What's most important to you in a wireless speaker? [Sound quality],What's most important to you in a wireless speaker? [Battery life],What's most important to you in a wireless speaker? [Design/Looks],"What's most important to you in a wireless speaker? [Connectivity options (e.g., Bluetooth, Wi-Fi)]",What's most important to you in a wireless speaker? [Durability],What's most important to you in a wireless speaker? [Price],Which brands of wireless speakers do you own or have used before? (Select all that apply) ,"What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Recommendation from friends/family]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Online reviews from other customers]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Expert reviews]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Brand reputation]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Price]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Specific features]","What made you buy your current wireless speaker? Rate each factor from 1 to 5, where 1 is ""Not Important"" and 5 is ""Very Important."" [Advertising]",How happy are you with your wireless speaker?,What would make your wireless speaker better?,What do you mostly use your wireless speaker for? (Select all that apply),Have any other lifestyle changes in the past year changed how you use wireless speakers? (Select all that apply),How much did you spend on your wireless speaker? (US dollars),How likely are you to buy a new wireless speaker in the next 12 months?,Where do you like to buy wireless speakers?,How do you think about and evaluate the price when buying a wireless speaker? ,How old are you?,What is your gender?,What's your annual household income?,"Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below.","Thanks a bunch for completing our survey! Your feedback is super valuable and will help us understand what consumers want. 
If you have any extra comments or feedback, please share them below."
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,ONCE A WEEK,GOOD,IT’S GOOD ,6,5,1,3,4,2,"BOSE, JBL",3,2,5,3,5,3,1,5,IT’S GOOD LIKE IT IS,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),VERY IMPORTANT ,18-24,FEMALE,PREFER NOT TO SAY,:),:)
YES,SEVERAL TIMES A WEEK,GOOD,SOUNDS HIGH ENOUGH ,1,2,3,6,5,4,"BOSE, JBL, SONY",4,4,2,3,5,2,3,4,IF THE BATTERY LASTED LONGER,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",LESS THAN $50,5,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",NOT HIGHER THAN $50,18-24,FEMALE,PREFER NOT TO SAY,.,.
YES,SEVERAL TIMES A WEEK,GOOD,IT IS A SMALLER SPEAKER THAT PLAYS IN MONO AUDIO. IT GETS VERY LOUD BUT CAN GET DISTORTED AT HIGHER VOLUMES,6,5,4,3,2,1,"BOSE, BEATS",1,4,5,4,3,3,3,4,BETTER SOUND QUALITY/LOUDNESS ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$100 TO $200,2,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),DEPENDS MOSTLY ON DESIGN AND SOUND QUALITY. I WOULD NOT PAY MORE THAN $500 ON A PORTABLE SPEAKER,25-34,MALE,"$50,000-$75,000",FURTHER CLARIFYING WHAT SPECIFIC TYPE OF SPEAKER I USE?,Further clarifying what specific type of speaker I use?
YES,RARELY (FEWER THAN ONCE A MONTH),POOR,THE AUDIO IS MUFFLED AND NOT THAT LOUD. I'VE DEF HEARD BETTER ,1,3,6,4,5,2,JBL,4,4,3,5,5,4,3,2,DEFINITELY SOUND QUALITY ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, HOME WORKOUTS",$50 TO $100,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"AS LONG AS IT FITS IN MY BUDGET, I'LL BUY IT",18-24,FEMALE,"$25,000-$50,000",NONE,NONE
YES,DAILY,GOOD,"GOOD, STILL HAS SAME QUALITY AS WHEN BOUGHT A YEAR AGO",5,6,1,2,3,4,"SAMSUNG, SONY, ",4,3,4,4,4,4,2,4,BETTER BATTERY LIFE ,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)",SPENDING MORE TIME AT HOME,LESS THAN $50,3,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),SOUND QUALITY AND PRODUCT QUALITY SHOULD BE WORTH THE PRICE ,18-24,FEMALE,PREFER NOT TO SAY,N/A,N/A
YES,DAILY,GOOD,COULD BE LOUDER ALSO OVER TIME THE QUALITY HAS DROPPED ,5,6,4,3,1,2,"BOSE, JBL",5,4,4,5,4,3,2,4,LONGER BATTERY LIFE AND BETTER SOUND QUALITY ,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),IF IT’S GOOD QUALITY THE IT’S WORTH THE $,18-24,MALE,"LESS THAN $25,000",N/A,N/A
YES,DAILY,EXCELLENT,"IT'S A SPEAKER WITH GOOD BASS, VOLUME AND AUDIO QUALITY. ",6,5,1,3,4,2,"BOSE, SAMSUNG, MARSHALL",3,5,4,4,3,5,3,5,"VOLUME, QUALITY AND BATTERY. ",LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$200 TO $300,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),IT ALL DEPENDS ON THE AUDIO AND THE TYPE OF SPEAKER (CONSIDERING THE BRAND) ,18-24,MALE,PREFER NOT TO SAY,.,.
YES,1-3 TIMES A MONTH,EXCELLENT,"FOR AN ONLINE PURCHASE, IT IS QUITE CLEAR",1,2,3,4,5,6,"JBL, KAISON",3,3,3,3,5,5,3,5,IF IT DIDN'T HAVE ANY UNNECESSARY WORDS OR DESIGNS ON IT,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, VIDEO/AUDIO CALLS (WORK/PERSONAL)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),THE QUALITY ADDED,Under 18,FEMALE,PREFER NOT TO SAY,NONE,none
YES,SEVERAL TIMES A WEEK,POOR,"NOT VERY BIG, NOT VERY POWERFUL ",6,3,5,4,2,1,TOZO,2,2,2,3,5,4,1,2,MORE POWER. ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COST FOR FEATURES,35-44,MALE,"$75,000-$100,000",NOPE,Nope
YES,SEVERAL TIMES A WEEK,EXCELLENT,"I HAVE TWO, THEY ARE BOTH EXCELLENT FOR THEIR RESPECTIVE SIZE",6,4,2,1,3,5,EARFUN AND TRIBIT,2,4,4,3,4,2,1,5,"BETTER BASS ON THE SMALLER ONE, LESS WEIGHT ON THE LARGER ONE.",LISTENING TO MUSIC,NO,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COST VS QUALITY,35-44,MALE,"$50,000-$75,000",NO,No
YES,SEVERAL TIMES A WEEK,GOOD,"MY SPEAKER HAS PRETTY GOOD SOUND QUALITY, BUT I OFTEN WISH THAT IT COULD BE LOUDER THAN IT DOES GO WHEN I WANT TO USE IT AT LARGER EVENTS… BUT TRADITIONALLY I JUST USE IT FOR A SMALLER GATHERING SO IT IS FINE",6,2,1,3,4,5,"BOSE, SAMSUNG",5,4,1,4,4,2,2,4,IF MY SPEAKER COULD GO WITH A LOUDER VOLUME ON MAINTAINING THE QUALITY THAT CURRENTLY HAS WOULD BE BETTER,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I DEFINITELY LOOK FOR THE CHEAPEST OPTION BUT ALSO WANT GOOD QUALITY SO I HAVE TO FIND THE HAPPY BALANCE… LOWER PRICES ATTRACT MY EYE AND OFTEN TIMES ARE MORE WORTH IT THAN BIGGER BRANDS THAT ARE WORTH MORE,18-24,MALE,"MORE THAN $100,000",NA,NA
YES,1-3 TIMES A MONTH,EXCELLENT,WATERPROOF AND EXCELLENT SOUND QUALITY ,6,2,1,5,4,3,JBL,1,2,3,5,5,5,1,5,LONGER BATTERY LIFE ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",RECOMMENDATIONS AND SEEING WHAT OTHERS BOUGHT THEIRS FOR ,18-24,MALE,"LESS THAN $25,000",NA,Na
YES,SEVERAL TIMES A WEEK,GOOD,"IT’S DECENT QUALITY, PRETTY LOUD FOR THE PRICE POINT AND SIZE (AROUND 30$ ANKER SOUND)",6,5,1,3,4,2,"BOSE, SONY",5,4,4,4,3,2,1,5,SOUND QUALITY,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,EITHER BRAND WEBSITES OR MULTI CARRIER STORES,"THE BRAND, SIZE, SOUND QUALITY, AND HOW LOUD IT GETS",18-24,FEMALE,"LESS THAN $25,000",N/A,n/a
YES,1-3 TIMES A MONTH,AVERAGE,"MY WIRELESS SPEAKER SOUNDS FINE, BUT SOMETIMES WHEN I'M REALLY PAYING ATTENTION, I FEEL LIKE THERES A BUZZ.",6,5,2,1,4,3,JBL,1,3,4,5,4,2,3,3,BETTER DURABILITY AND SOUND QUALITY.,LISTENING TO MUSIC,"WORKING FROM HOME MORE, HOME WORKOUTS",LESS THAN $50,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"IF IT'S EXPENSIVE, I THINK ABOUT HOW MUCH I'LL USE IT AND IF I WILL REALLY BE ABLE TO MAXIMIZE USING IT. I ALSO H THINK ABOUT HOW LONG IT WOULD LAST ME AND HOW IT COMPARED TO OTHER SPEAKERS.",18-24,FEMALE,PREFER NOT TO SAY,N/A,n/a
YES,SEVERAL TIMES A WEEK,GOOD,NA,6,2,3,4,5,1,"BOSE, JBL",4,3,3,4,4,5,3,3,SOUND QUALITY,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS",LESS THAN $50,4,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),NA,18-24,FEMALE,"$25,000-$50,000",NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,IT ALWAYS SOUNDS CLEAR AND BLUETOOTH RANGE IS PRETTY FAR,6,4,1,2,3,5,"BOSE, JBL",3,3,3,5,5,4,2,5,PROBABLY THE PRICE – I ALWAYS WELCOME CHEAPER PRICES FOR HIGH QUALITY GOODS,LISTENING TO MUSIC,NONE REALLY,$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),"HOW MANY TIMES AM I GOING TO USE IT (HOPEFULLY BEFORE IT BREAKS) VERSUS HOW MUCH DOES IT COST? E.G. 100 TIMES VERSUS 1000 DOLLARS, THEN CAN I JUSTIFY SPENDING 10 DOLLARS ON IT EACH TIME I WANT TO LISTEN TO MUSIC? IF I WILL USE IT ENOUGH TO JUSTIFY THE PRICE THEN I'LL BUY IT. ",18-24,FEMALE,PREFER NOT TO SAY,NOPE :),Nope :)
YES,SEVERAL TIMES A WEEK,EXCELLENT,I THINK MY SPEAKER IS VERY CLEAR AND HAS GOOD VOLUME.,6,3,1,4,5,2,"BOSE, SONOS",5,5,5,5,5,3,3,5,"NOTHING HONESTLY, THE SONOS ONE IS GREAT!",LISTENING TO MUSIC,WORKING WITHOUT A RADIO.,$100 TO $200,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)","I LOOK AT THE BRAND NAME AND REVIEWS ON THE PRODUCT, AND COMPARE IT TO OTHERS WITH SIMILAR CAPABILITIES ",18-24,FEMALE,"LESS THAN $25,000",SLAY SPEAKERS! 🎶 ,Slay Speakers! 🎶 
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,POOR,IT WORKS ONCE EVERY 2 WEEKS.,5,4,2,1,3,6,UNKNOWN CHINESE BRAND,3,3,4,5,5,4,3,3,"IT WAS PERFECT ACTUALLY. TRUTHFULLY, THERE WAS A LAPSE IN MY ABILITY TO TAKE CARE OF IT. IT LASTED AROUND 7 YEARS. EVENTUALLY, AFTER YEARS OF ABUSE, (DROPPING, WATER-RELATED DAMAGES,) IT FINALLY MET IT'S DEMISE A FEW MONTHS AGO.",LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I EVALUATE THE QUALITY OF THE SPEAKER RELATIVE TO THE PRICE.,Under 18,MALE,"$25,000-$50,000","I ENJOYED THIS SURVEY. THANK YOU. HAVE A WONDERFUL DAY, AND DONT FORGET TO SMILE.

YOU CANT CONTROL THE WIND, BUT YOU CAN ADJUST YOUR SAILS.","I enjoyed this survey. Thank you. Have a wonderful day, and dont forget to smile.

You cant control the wind, but you can adjust your sails."
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,RARELY (FEWER THAN ONCE A MONTH),EXCELLENT,IT’S GOOD,4,5,1,6,2,3,JBL,3,4,4,5,4,5,1,4,NA,"LISTENING TO MUSIC, GAMING",USE IT MORE WHILE TRAVELING ,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",PRICE IS IMPORTANT,25-34,MALE,"MORE THAN $100,000",NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,SEVERAL TIMES A WEEK,GOOD,"THEY ARE GOOD TO LISTEN AT MUSIC WHEN HANGING OUT WITH FRIENDS. VIBES ARE GOOD ON WIRELESS SPEAKER WHEN PLAYED AT PUBLIC PLACES LIKE TRIP, GET-TOGETHER, ETC.",6,5,4,3,2,1,JBL,3,3,4,5,5,5,5,5,OPTIONS TO CHOOSE OWN BASE+ TEREBLE ,LISTENING TO MUSIC,HOME WORKOUTS,$50 TO $100,2,BRAND WEBSITES,SPECIFICATIONS OVER PRICE,25-34,MALE,PREFER NOT TO SAY,NONE,None
YES,SEVERAL TIMES A WEEK,EXCELLENT,THE BASS AND SOUND QUALITY IS FANTASTIC ,6,5,1,2,4,3,"JBL, SAMSUNG",3,3,5,5,2,5,1,5,FAST CHARGING ,LISTENING TO MUSIC,"MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,1,BRAND WEBSITES,THE QUALITY OF THE SPEAKER ,18-24,MALE,PREFER NOT TO SAY,NIL,Nil
YES,DAILY,GOOD,A BIT WEAK ON THE HIGHS AND SLIGHTLY REDUCED VOCAL CLARITY WITH MODERATE PUNCHINESS,2,1,5,3,4,6,"BOSE, JBL, BEATS, APPLE",3,4,5,3,4,1,3,4,MORE CLARITY AND MORE FORWARD VOCALS,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, PODCASTS/AUDIOBOOKS, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$100 TO $200,1,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),MORE OF WHAT ARE THE SIMILARITIES THEY HAVE WITH MY CURRENT SPEAKERS,25-34,MALE,"LESS THAN $25,000",N/A,N/A
YES,DAILY,EXCELLENT,"ITS NOT STATIC-Y, AND REALLY CAPTURES THE BEAT OF THE SONG BEING PLAYED.",1,2,3,4,5,6,"BOSE, JBL",5,3,4,4,4,3,3,5,NA,LISTENING TO MUSIC,NA,$100 TO $200,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),REVIEWS OF THE SPEAKER AND THE CREDIBILITY OF THE BRAND,18-24,FEMALE,PREFER NOT TO SAY,NA,na
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,THE SOUND QUALITY IS GOOD ENOUGH AND CRISP,5,4,2,1,3,6,JBL,2,4,3,3,4,4,3,4,LONGER BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,3,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",I USUALLY LOOK FOR A GOOD BALANCE OF QUALITY AND PRICE,18-24,FEMALE,"$25,000-$50,000",NO,no
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,1-3 TIMES A MONTH,GOOD,IS GOOD,4,6,5,1,2,3,JBL,1,5,4,3,5,1,1,4,MORE VOLUME,LISTENING TO MUSIC,NO,$50 TO $100,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",THE CHEAPEST OPTION WITH SOME QUALITY ,25-34,FEMALE,"LESS THAN $25,000",NO,No
YES,SEVERAL TIMES A WEEK,GOOD,"I PREFER (IT OVER MY PHONE'S SPEAKER) BEACUSE IT IS LOUDER, SOUND QUALITY IS CLEARER AND EXCITING, I FEEL THE RANGES OF THE SOUND CREATED IS DEEPER AND HAS VOLUME (3D MASS). THE SOUND FILLS THE ROOM AND REVERBERATES",6,4,3,1,5,2,"JBL, X",1,1,1,1,3,5,1,4,CLEARER BASS,LISTENING TO MUSIC,ITS EITHER BETWEEN THE WIRELESS SPEAKER OR HEADSET. I LOVE BEING ABLE TO ENJOY THE IMMENSITY OF SOUND.,LESS THAN $50,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),THAT THE PRICE EQUATES THE VALUE PROVIDED,25-34,FEMALE,"$25,000-$50,000",ITS ALL GOOD,Its all good
YES,RARELY (FEWER THAN ONCE A MONTH),AVERAGE,MY SPEAKER HAS AN AVERAGE LEVEL OF SOUND BECAUSE THE SOUND SOMETIMES IS NOT CLEAR ,6,5,1,2,4,3,AEROBULL,1,4,3,2,4,4,2,4,BATTERY LIFE ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",LESS THAN $50,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",ABOUT THE PRICE I CAN AFFORD ,25-34,MALE,"LESS THAN $25,000",/,/
YES,DAILY,GOOD,THE SOUND IS GOOD DEPENDING ON THE VOLUME. THE HIGHER THE VOLUME THE WORST IT SOUNDS.,5,6,1,4,3,2,"JBL, ALEXA",1,3,2,3,3,3,3,4,THE SOUND WHEN THE VOLUME IS UP,LISTENING TO MUSIC,"SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,2,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",COMPARING IT TO OTHER SPEAKERS AND THE QUALITY TO SEE IF IT IS WORTH IT,18-24,FEMALE,"LESS THAN $25,000",..,..
YES,SEVERAL TIMES A WEEK,EXCELLENT,"THE BASS SOUNDS GREAT, THE VOLUME RANGES ARE VERY GOOD AND IN GENERAL ITS VERY GOOD QUALITY THAT DOES NOT MAKE MY MUSIC SOUND TERRIBLE",6,4,1,5,2,3,"JBL, MIFA",2,5,3,1,5,4,1,5,MORE BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)",NO,LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",PRICE/QUALITY BASED ON REVIEWS BY OTHER PEOPLE WHO ALSO BOUGHT IT,18-24,NON-BINARY/THIRD GENDER,PREFER NOT TO SAY,I GOTTA ANSWER THIS QUESTION SO I CAN SUBMIT,i gotta answer this question so i can submit
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,THE SOUND QUALITY SHOULD BE CLEAR AND WELL-BALANCED. THE BASS SHOULD BE STRONG WITHOUT OVERPOWERING THE OTHER FREQUENCIES AND EVEN AT HIGHER VOLUMES THERE SHOULD BE NO/ MINIMAL DISTORTION.,6,5,4,3,2,1,"JBL, MARSHALL",5,3,4,5,4,5,4,5,NOTHING ,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",- MORE THAN $300,1,DEPARTMENT STORES (PHYSICAL STORE THAT SELLS ELECTRONICS ALONGSIDE MANY OTHER PRODUCTS),"I EVALUATE PRICE BY BALANCING SOUND QUALITY, FEATURES, AND DURABILITY.",18-24,FEMALE,PREFER NOT TO SAY,.,.
YES,SEVERAL TIMES A WEEK,EXCELLENT,THE SOUND IS TOP NOTCH,1,3,4,5,2,6,JBL,3,5,5,5,5,5,3,5,NOTHING,LISTENING TO MUSIC,"MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES)",$50 TO $100,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),THE QUALITY,18-24,MALE,PREFER NOT TO SAY,NO,no
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,"I CAN CRAFT COMPOSED, BALANCED SOUND THAT LETS ME PERSONALIZE THE EXPERIENCE, CREATING THE EXACT ATMOSPHERE I WANT TO HEAR",6,5,2,3,4,1,"BOSE, JBL, SAMSUNG, SONY",3,3,2,4,3,5,2,5,NOTHING FOR NOW,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, GAMING, VIDEO/AUDIO CALLS (WORK/PERSONAL), WORK STUFF (E.G., WEBINARS, ONLINE MEETINGS)","SPENDING MORE TIME AT HOME, MORE MEDIA CONSUMPTION (MUSIC, MOVIES, GAMES), HOME WORKOUTS",$100 TO $200,3,MULTI-BRAND ELECTRONICS STORES (AN ACTUAL PHYSICAL STORE SELLING ONLY ELECTRONICS FROM A VARIETY OF BRANDS),I DUNNO,35-44,MALE,"$50,000-$75,000",NIL,Nil
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,EXCELLENT,"IT'S LOUD BUT DOESN'T HURT MY EARS, BATTERY LIFE IS AMAZING ",5,4,2,1,3,6,ONE PLUS BUDS ,2,5,5,5,5,4,3,5,IF IT WERE EASIER TO CONNECT WITH NEW DEVICES ,LISTENING TO MUSIC,"WORKING FROM HOME MORE, MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",LESS THAN $50,1,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",USUALLY ONLINE REVIEWS ,18-24,FEMALE,PREFER NOT TO SAY,NA,NA
YES,1-3 TIMES A MONTH,GOOD,ITS FINE NOTHING EXTRAORDINARY ,2,4,1,3,5,6,JBL,5,5,5,5,5,3,3,4,MORE BATTERY LFIE,LISTENING TO MUSIC,SPENDING MORE TIME AT HOME,$50 TO $100,1,BRAND WEBSITES,IF ITS VALUE FOR FEATURES AND BATTERY LIFE,18-24,FEMALE,PREFER NOT TO SAY,NA,NA
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
YES,DAILY,GOOD,IT SOMETIMES GETS MUFFLED ,1,6,4,5,3,2,"JBL, SAMSUNG, SONY",1,4,5,5,3,5,4,2,BATTERY LIFE,"LISTENING TO MUSIC, WATCHING MOVIES/TV SHOWS, VIDEO/AUDIO CALLS (WORK/PERSONAL)","SPENDING MORE TIME AT HOME, MORE ONLINE SOCIAL INTERACTIONS, HOME WORKOUTS",$50 TO $100,4,"LARGE MULTI-BRAND STORES (E.G., AMAZON)",LOOKS AND DURABILITY ,18-24,FEMALE,"$50,000-$75,000",-,-
NO,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
